x,y (H1),EXACT,%Err(H1)
0.226,1.012608768,0.889131752,0.14%
0.227,1.015492229,0.891001161,0.14%
0.228,1.018352922,0.892844929,0.14%
0.229,1.02119075,0.894662983,0.14%
0.23,1.024005619,0.896455253,0.14%
0.231,1.026797436,0.898221666,0.14%
0.232,1.029566107,0.899962153,0.14%
0.233,1.032311538,0.901676643,0.14%
0.234,1.035033637,0.903365068,0.15%
0.235,1.037732312,0.905027358,0.15%
0.236,1.040407471,0.906663445,0.15%
0.237,1.043059023,0.908273262,0.15%
0.238,1.045686878,0.909856742,0.15%
0.239,1.048290945,0.911413818,0.15%
0.24,1.050871135,0.912944425,0.15%
0.241,1.053427359,0.914448497,0.15%
0.242,1.055959528,0.915925971,0.15%
0.243,1.058467554,0.917376782,0.15%
0.244,1.06095135,0.918800866,0.15%
0.245,1.063410828,0.920198161,0.16%
0.246,1.065845903,0.921568606,0.16%
0.247,1.068256488,0.922912137,0.16%
0.248,1.070642498,0.924228696,0.16%
0.249,1.073003848,0.92551822,0.16%
0.25,1.075340453,0.926780652,0.16%
0.251,1.077652231,0.928015931,0.16%
0.252,1.079939097,0.929223999,0.16%
0.253,1.082200969,0.930404799,0.16%
0.254,1.084437765,0.931558274,0.16%
0.255,1.086649403,0.932684366,0.17%
0.256,1.088835803,0.933783021,0.17%
0.257,1.090996883,0.934854183,0.17%
0.258,1.093132563,0.935897797,0.17%
0.259,1.095242766,0.936913809,0.17%
0.26,1.097327411,0.937902167,0.17%
0.261,1.09938642,0.938862817,0.17%
0.262,1.101419716,0.939795707,0.17%
0.263,1.103427221,0.940700787,0.17%
0.264,1.10540886,0.941578006,0.17%
0.265,1.107364556,0.942427313,0.18%
0.266,1.109294233,0.943248659,0.18%
0.267,1.111197818,0.944041995,0.18%
0.268,1.113075235,0.944807274,0.18%
0.269,1.114926412,0.945544447,0.18%
0.27,1.116751274,0.946253469,0.18%
0.271,1.118549751,0.946934293,0.18%
0.272,1.120321769,0.947586873,0.18%
0.273,1.122067259,0.948211166,0.18%
0.274,1.123786148,0.948807126,0.18%
0.275,1.125478367,0.949374711,0.19%
0.276,1.127143847,0.949913877,0.19%
0.277,1.128782518,0.950424583,0.19%
0.278,1.130394313,0.950906788,0.19%
0.279,1.131979165,0.95136045,0.19%
0.28,1.133537004,0.951785529,0.19%
0.281,1.135067767,0.952181987,0.19%
0.282,1.136571386,0.952549785,0.19%
0.283,1.138047797,0.952888884,0.19%
0.284,1.139496935,0.953199247,0.20%
0.285,1.140918737,0.953480839,0.20%
0.286,1.142313138,0.953733622,0.20%
0.287,1.143680077,0.953957561,0.20%
0.288,1.145019491,0.954152623,0.20%
0.289,1.146331318,0.954318773,0.20%
0.29,1.1476155,0.954455979,0.20%
0.291,1.148871974,0.954564207,0.20%
0.292,1.150100682,0.954643426,0.20%
0.293,1.151301564,0.954693605,0.21%
0.294,1.152474563,0.954714714,0.21%
0.295,1.153619622,0.954706723,0.21%
0.296,1.154736682,0.954669603,0.21%
0.297,1.155825689,0.954603326,0.21%
0.298,1.156886586,0.954507865,0.21%
0.299,1.157919319,0.954383192,0.21%
0.3,1.158923832,0.954229282,0.21%
0.301,1.159900074,0.954046109,0.22%
0.302,1.16084799,0.953833649,0.22%
0.303,1.161767528,0.953591877,0.22%
0.304,1.162658637,0.953320771,0.22%
0.305,1.163521266,0.953020307,0.22%
0.306,1.164355365,0.952690465,0.22%
0.307,1.165160883,0.952331223,0.22%
0.308,1.165937773,0.951942561,0.22%
0.309,1.166685985,0.951524458,0.23%
0.31,1.167405472,0.951076897,0.23%
0.311,1.168096187,0.950599859,0.23%
0.312,1.168758084,0.950093327,0.23%
0.313,1.169391118,0.949557284,0.23%
0.314,1.169995243,0.948991713,0.23%
0.315,1.170570415,0.9483966,0.23%
0.316,1.171116592,0.947771931,0.24%
0.317,1.171633729,0.947117691,0.24%
0.318,1.172121785,0.946433867,0.24%
0.319,1.172580719,0.945720447,0.24%
0.32,1.17301049,0.944977419,0.24%
0.321,1.173411057,0.944204773,0.24%
0.322,1.173782381,0.943402499,0.24%
0.323,1.174124425,0.942570586,0.25%
0.324,1.174437149,0.941709027,0.25%
0.325,1.174720516,0.940817813,0.25%
0.326,1.174974491,0.939896938,0.25%
0.327,1.175199037,0.938946395,0.25%
0.328,1.175394119,0.937966178,0.25%
0.329,1.175559703,0.936956282,0.25%
0.33,1.175695755,0.935916704,0.26%
0.331,1.175802242,0.934847439,0.26%
0.332,1.175879131,0.933748486,0.26%
0.333,1.175926392,0.932619841,0.26%
0.334,1.175943993,0.931461505,0.26%
0.335,1.175931904,0.930273475,0.26%
